  0.1000000E-03  0.1000000E+07         300          17
 -0.3237257623E+01 -0.1885237396E+00  0.3118842579E+01  0.8228327914E-01  0.1442382780E+01  0.1599410690E-01
 -0.3237038090E+01 -0.1959243677E+00  0.3118803282E+01  0.8556244872E-01  0.1442382677E+01  0.1664006236E-01
 -0.3236800982E+01 -0.2036155126E+00  0.3118780647E+01  0.8897228414E-01  0.1442390418E+01  0.1731130513E-01
 -0.3236544893E+01 -0.2116085786E+00  0.3118769549E+01  0.9251922864E-01  0.1442403620E+01  0.1800904970E-01
 -0.3236268303E+01 -0.2199154179E+00  0.3118775139E+01  0.9619360011E-01  0.1442425500E+01  0.1872725262E-01
 -0.3235969572E+01 -0.2285483478E+00  0.3118777671E+01  0.9999369087E-01  0.1442445592E+01  0.1946284040E-01
 -0.3235646927E+01 -0.2375201693E+00  0.3118767319E+01  0.1039360301E+00  0.1442459447E+01  0.2022354729E-01
 -0.3235298453E+01 -0.2468441857E+00  0.3118755798E+01  0.1080298098E+00  0.1442473686E+01  0.2101192556E-01
 -0.3234922083E+01 -0.2565342228E+00  0.3118736840E+01  0.1122825251E+00  0.1442485954E+01  0.2182946779E-01
 -0.3234515583E+01 -0.2666046489E+00  0.3118700761E+01  0.1167213671E+00  0.1442491544E+01  0.2268838252E-01
 -0.3234076543E+01 -0.2770703965E+00  0.3118652055E+01  0.1213399201E+00  0.1442493303E+01  0.2358326784E-01
 -0.3233602356E+01 -0.2879469841E+00  0.3118587070E+01  0.1261506884E+00  0.1442490343E+01  0.2451631112E-01
 -0.3233090209E+01 -0.2992505396E+00  0.3118513852E+01  0.1311745402E+00  0.1442486307E+01  0.2549560803E-01
 -0.3232537064E+01 -0.3109978239E+00  0.3118442200E+01  0.1364359179E+00  0.1442486191E+01  0.2653009833E-01
 -0.3231939639E+01 -0.3232062559E+00  0.3118374213E+01  0.1419110697E+00  0.1442491603E+01  0.2760799242E-01
 -0.3231294388E+01 -0.3358939382E+00  0.3118309219E+01  0.1476008025E+00  0.1442502477E+01  0.2872702037E-01
 -0.3230597483E+01 -0.3490796842E+00  0.3118256982E+01  0.1535285127E+00  0.1442524357E+01  0.2989455557E-01
 -0.3229844789E+01 -0.3627830456E+00  0.3118212125E+01  0.1596988769E+00  0.1442554080E+01  0.3111008077E-01
 -0.3229031840E+01 -0.3770243418E+00  0.3118155772E+01  0.1661120970E+00  0.1442581544E+01  0.3236984101E-01
 -0.3228153813E+01 -0.3918246898E+00  0.3118073021E+01  0.1728009379E+00  0.1442600082E+01  0.3368597839E-01
 -0.3227205497E+01 -0.4072060356E+00  0.3117991996E+01  0.1797804403E+00  0.1442624798E+01  0.3506014134E-01
 -0.3226181267E+01 -0.4231911866E+00  0.3117890565E+01  0.1870831755E+00  0.1442646628E+01  0.3650085958E-01
 -0.3225075045E+01 -0.4398038456E+00  0.3117665543E+01  0.1947458394E+00  0.1442621257E+01  0.3802576808E-01
 -0.3223880266E+01 -0.4570686460E+00  0.3117400822E+01  0.2027590277E+00  0.1442588275E+01  0.3963061208E-01
 -0.3222589843E+01 -0.4750111878E+00  0.3117099904E+01  0.2111274421E+00  0.1442549790E+01  0.4131336972E-01
 -0.3221196119E+01 -0.4936580764E+00  0.3116730949E+01  0.2198712124E+00  0.1442491646E+01  0.4308033203E-01
 -0.3219690824E+01 -0.5130369613E+00  0.3116292574E+01  0.2289614671E+00  0.1442413187E+01  0.4491127837E-01
 -0.3218065026E+01 -0.5331765776E+00  0.3115843135E+01  0.2384323588E+00  0.1442344119E+01  0.4681494240E-01
 -0.3216309079E+01 -0.5541067883E+00  0.3115345928E+01  0.2483701661E+00  0.1442269639E+01  0.4882946630E-01
 -0.3214412565E+01 -0.5758586287E+00  0.3114671375E+01  0.2588401092E+00  0.1442136084E+01  0.5097647523E-01
 -0.3212364230E+01 -0.5984643524E+00  0.3113799874E+01  0.2697230365E+00  0.1441934275E+01  0.5319790304E-01
 -0.3210151921E+01 -0.6219574793E+00  0.3112871292E+01  0.2810270873E+00  0.1441721642E+01  0.5549614364E-01
 -0.3207762511E+01 -0.6463728449E+00  0.3111863760E+01  0.2928363094E+00  0.1441489348E+01  0.5790438373E-01
 -0.3205181824E+01 -0.6717466523E+00  0.3110865662E+01  0.3052037950E+00  0.1441284326E+01  0.6043425445E-01
 -0.3202394546E+01 -0.6981165259E+00  0.3109732943E+01  0.3182808149E+00  0.1441044657E+01  0.6315154216E-01
 -0.3199384140E+01 -0.7255215669E+00  0.3108353969E+01  0.3319807280E+00  0.1440717443E+01  0.6600831528E-01
 -0.3196132744E+01 -0.7540024115E+00  0.3106742735E+01  0.3463695508E+00  0.1440318306E+01  0.6901886859E-01
 -0.3192621066E+01 -0.7836012911E+00  0.3104887746E+01  0.3613493621E+00  0.1439845681E+01  0.7212857980E-01
 -0.3188828270E+01 -0.8143620950E+00  0.3102806816E+01  0.3771151211E+00  0.1439322999E+01  0.7543105618E-01
 -0.3184731851E+01 -0.8463304352E+00  0.3100386568E+01  0.3936871295E+00  0.1438691192E+01  0.7893052849E-01
 -0.3180307505E+01 -0.8795537144E+00  0.3097497271E+01  0.4110710354E+00  0.1437888725E+01  0.8262386699E-01
 -0.3175528979E+01 -0.9140811961E+00  0.3094224479E+01  0.4290468741E+00  0.1436952301E+01  0.8638094170E-01
 -0.3170367921E+01 -0.9499640777E+00  0.3090693141E+01  0.4479230082E+00  0.1435965609E+01  0.9032857192E-01
 -0.3164793707E+01 -0.9872555664E+00  0.3086597337E+01  0.4678287596E+00  0.1434794014E+01  0.9452791019E-01
 -0.3158773265E+01 -0.1026010958E+01  0.3081930189E+01  0.4884865414E+00  0.1433426026E+01  0.9881534396E-01
 -0.3152270872E+01 -0.1066287719E+01  0.3076910475E+01  0.5102347802E+00  0.1431986896E+01  0.1033239036E+00
 -0.3145247947E+01 -0.1108145571E+01  0.3071064384E+01  0.5332449915E+00  0.1430276326E+01  0.1081221511E+00
 -0.3137662820E+01 -0.1151646583E+01  0.3064354987E+01  0.5572974421E+00  0.1428304380E+01  0.1130827878E+00
 -0.3129470486E+01 -0.1196855256E+01  0.3056669389E+01  0.5826300477E+00  0.1426049126E+01  0.1183095437E+00
 -0.3120622336E+01 -0.1243838626E+01  0.3047743744E+01  0.6090092408E+00  0.1423408569E+01  0.1236760471E+00
 -0.3111065870E+01 -0.1292666361E+01  0.3037522575E+01  0.6365831190E+00  0.1420400470E+01  0.1292407158E+00
 -0.3100744387E+01 -0.1343410862E+01  0.3025614037E+01  0.6651123890E+00  0.1416884083E+01  0.1348953905E+00
 -0.3089596645E+01 -0.1396147372E+01  0.3012104477E+01  0.6944819375E+00  0.1412910690E+01  0.1405946227E+00
 -0.3077556499E+01 -0.1450954091E+01  0.2996856470E+01  0.7246462127E+00  0.1408444250E+01  0.1462956740E+00
 -0.3064552511E+01 -0.1507912285E+01  0.2979846719E+01  0.7555339528E+00  0.1403499888E+01  0.1519501997E+00
 -0.3050507523E+01 -0.1567106411E+01  0.2960949150E+01  0.7870214592E+00  0.1398037149E+01  0.1574877366E+00
 -0.3035338200E+01 -0.1628624244E+01  0.2940185487E+01  0.8191418982E+00  0.1392117770E+01  0.1628822552E+00
 -0.3018954537E+01 -0.1692557001E+01  0.2917322217E+01  0.8519034981E+00  0.1385690479E+01  0.1681097024E+00
