  0.1000000E-03  0.1000000E+07         300          17
  0.9820000000E+00  0.6900000000E+00  0.3610000000E+03  0.2100000000E+00  0.1000000000E+01  0.1900000000E+01
 -0.9024000000E+00 -0.1900000000E-01  0.2236515768E+01  0.2998940744E-01  0.1807014814E+01  0.1242619924E-01
 -0.9023919948E+00 -0.1974585798E-01  0.2236450417E+01  0.3118165042E-01  0.1806972815E+01  0.1292934093E-01
 -0.9023833487E+00 -0.2052099512E-01  0.2236381477E+01  0.3241902810E-01  0.1806929357E+01  0.1345070800E-01
 -0.9023740105E+00 -0.2132656079E-01  0.2236321379E+01  0.3370923163E-01  0.1806896883E+01  0.1399633491E-01
 -0.9023639247E+00 -0.2216374950E-01  0.2236258192E+01  0.3504834868E-01  0.1806863339E+01  0.1456183049E-01
 -0.9023530316E+00 -0.2303380263E-01  0.2236193005E+01  0.3643818856E-01  0.1806829871E+01  0.1514802666E-01
 -0.9023412664E+00 -0.2393801028E-01  0.2236121990E+01  0.3788280304E-01  0.1806793223E+01  0.1575765027E-01
 -0.9023285594E+00 -0.2487771322E-01  0.2236040658E+01  0.3938532658E-01  0.1806749598E+01  0.1639272465E-01
 -0.9023148352E+00 -0.2585430484E-01  0.2235952825E+01  0.4094919623E-01  0.1806702464E+01  0.1705515999E-01
 -0.9023000123E+00 -0.2686923324E-01  0.2235858195E+01  0.4257411290E-01  0.1806651577E+01  0.1774332809E-01
 -0.9022840028E+00 -0.2792400334E-01  0.2235755865E+01  0.4426180045E-01  0.1806596275E+01  0.1845737733E-01
 -0.9022667117E+00 -0.2902017916E-01  0.2235651554E+01  0.4601176715E-01  0.1806542378E+01  0.1919544317E-01
 -0.9022480364E+00 -0.3015938611E-01  0.2235542423E+01  0.4782037968E-01  0.1806487607E+01  0.1995366290E-01
 -0.9022278661E+00 -0.3134331341E-01  0.2235429098E+01  0.4970245349E-01  0.1806432716E+01  0.2074435681E-01
 -0.9022060812E+00 -0.3257371658E-01  0.2235306689E+01  0.5165860231E-01  0.1806373583E+01  0.2156646931E-01
 -0.9021825523E+00 -0.3385242007E-01  0.2235168946E+01  0.5369421145E-01  0.1806304657E+01  0.2242355652E-01
 -0.9021571398E+00 -0.3518131994E-01  0.2235020067E+01  0.5581425585E-01  0.1806230280E+01  0.2331895646E-01
 -0.9021296930E+00 -0.3656238668E-01  0.2234873597E+01  0.5800633274E-01  0.1806164855E+01  0.2423917538E-01
 -0.9021000491E+00 -0.3799766814E-01  0.2234719723E+01  0.6027642592E-01  0.1806098395E+01  0.2518787046E-01
 -0.9020680321E+00 -0.3948929255E-01  0.2234559575E+01  0.6262548136E-01  0.1806031985E+01  0.2616413543E-01
 -0.9020334520E+00 -0.4103947170E-01  0.2234366342E+01  0.6502807700E-01  0.1805938852E+01  0.2714060385E-01
 -0.9019961037E+00 -0.4265050419E-01  0.2234135885E+01  0.6750908911E-01  0.1805816094E+01  0.2813972118E-01
 -0.9019557656E+00 -0.4432477886E-01  0.2233880879E+01  0.7010783445E-01  0.1805677397E+01  0.2919771026E-01
 -0.9019121984E+00 -0.4606477832E-01  0.2233600150E+01  0.7283524298E-01  0.1805520941E+01  0.3032433357E-01
