  0.2854497E+01  0.1284250E-01  0.0000000E+00           4          45
  0.4066299E-03  0.1452444E+00 -0.1211514E-02 -0.3979439E-02 -0.1016545E-01  0.1229372E+00  0.1821965E-02  0.9479266E-03  0.1147042E-02
  0.2147299E-02  0.1450862E+00 -0.1204363E-02 -0.3950964E-02 -0.1015596E-01  0.1227993E+00  0.1814956E-02  0.9107857E-03  0.1151499E-02
  0.5298540E-02  0.1447993E+00 -0.1191352E-02 -0.3897907E-02 -0.1013873E-01  0.1225494E+00  0.1802263E-02  0.8392090E-03  0.1160300E-02
  0.9895107E-02  0.1443798E+00 -0.1172231E-02 -0.3820680E-02 -0.1011349E-01  0.1221842E+00  0.1783743E-02  0.7355461E-03  0.1173005E-02
  0.1598718E-01  0.1438222E+00 -0.1146639E-02 -0.3718573E-02 -0.1007987E-01  0.1216992E+00  0.1759189E-02  0.5992988E-03  0.1189640E-02
  0.2364191E-01  0.1431190E+00 -0.1114097E-02 -0.3590693E-02 -0.1003735E-01  0.1210882E+00  0.1728337E-02  0.4299146E-03  0.1210223E-02
  0.3294489E-01  0.1422608E+00 -0.1074008E-02 -0.3435984E-02 -0.9985277E-02  0.1203436E+00  0.1690860E-02  0.2268327E-03  0.1234756E-02
  0.4400190E-01  0.1412362E+00 -0.1025652E-02 -0.3253262E-02 -0.9922866E-02  0.1194561E+00  0.1646375E-02 -0.1045151E-04  0.1263217E-02
  0.5694129E-01  0.1400315E+00 -0.9681906E-03 -0.3041256E-02 -0.9849157E-02  0.1184148E+00  0.1594450E-02 -0.2822844E-03  0.1295541E-02
  0.7191678E-01  0.1386308E+00 -0.9006663E-03 -0.2798682E-02 -0.9763020E-02  0.1172072E+00  0.1534608E-02 -0.5887185E-03  0.1331604E-02
  0.8911105E-01  0.1370155E+00 -0.8220175E-03 -0.2524340E-02 -0.9663138E-02  0.1158186E+00  0.1466344E-02 -0.9293351E-03  0.1371192E-02
  0.1087402E+00  0.1351645E+00 -0.7310988E-03 -0.2217241E-02 -0.9547990E-02  0.1142331E+00  0.1389146E-02 -0.1303015E-02  0.1413969E-02
  0.1310591E+00  0.1330541E+00 -0.6267193E-03 -0.1876786E-02 -0.9415835E-02  0.1124327E+00  0.1302519E-02 -0.1707653E-02  0.1459435E-02
  0.1563683E+00  0.1306574E+00 -0.5077030E-03 -0.1502994E-02 -0.9264699E-02  0.1103976E+00  0.1206029E-02 -0.2139801E-02  0.1506875E-02
  0.1850223E+00  0.1279451E+00 -0.3729792E-03 -0.1096801E-02 -0.9092363E-02  0.1081068E+00  0.1099361E-02 -0.2594248E-02  0.1555295E-02
  0.2174401E+00  0.1248849E+00 -0.2217151E-03 -0.6604208E-03 -0.8896361E-02  0.1055375E+00  0.9823878E-03 -0.3063529E-02  0.1603356E-02
  0.2541182E+00  0.1214421E+00 -0.5350114E-04 -0.1977966E-03 -0.8673979E-02  0.1026662E+00  0.8552717E-03 -0.3537397E-02  0.1649294E-02
  0.2956473E+00  0.1175800E+00  0.1313981E-03  0.2848858E-03 -0.8422284E-02  0.9946846E-01  0.7185883E-03 -0.4002294E-02  0.1690845E-02
  0.3427331E+00  0.1132610E+00  0.3317194E-03  0.7786388E-03 -0.8138153E-02  0.9591984E-01  0.5734778E-03 -0.4440912E-02  0.1725185E-02
  0.3962233E+00  0.1084475E+00  0.5448027E-03  0.1271131E-02 -0.7818356E-02  0.9199617E-01  0.4218195E-03 -0.4831960E-02  0.1748892E-02
