1.000000e-03	2.773612e+00	1.183108e+01	1.719461e-01	-3.381417e+00	1.036126e+00	-1.027428e+02	-1.395498e-01	3.331714e+00	-2.087406e+00	-2.652930e+01	4.209077e-01	-1.777352e+02	-1.534438e-01	7.948224e+01	-4.928881e-02	3.663885e+01
1.308177e-03	2.777949e+00	1.180213e+01	1.725268e-01	-3.369346e+00	1.037128e+00	-8.326143e+01	-1.397602e-01	3.335271e+00	-2.090010e+00	-2.649820e+01	4.213518e-01	-1.556548e+02	-1.553738e-01	7.953292e+01	-4.958818e-02	3.666615e+01
1.711328e-03	2.782831e+00	1.177250e+01	1.731805e-01	-3.355214e+00	1.038254e+00	-6.922695e+01	-1.399970e-01	3.338201e+00	-2.092939e+00	-2.646122e+01	4.218515e-01	-1.397587e+02	-1.575504e-01	7.956343e+01	-4.992570e-02	3.668632e+01
2.238721e-03	2.789830e+00	1.173488e+01	1.741171e-01	-3.336170e+00	1.039863e+00	-5.601946e+01	-1.403363e-01	3.341474e+00	-2.097132e+00	-2.641107e+01	4.225673e-01	-1.248135e+02	-1.606853e-01	7.958878e+01	-5.041143e-02	3.670706e+01
2.928645e-03	2.799048e+00	1.168115e+01	1.753506e-01	-3.305108e+00	1.041977e+00	-4.310140e+01	-1.407834e-01	3.344770e+00	-2.102648e+00	-2.632868e+01	4.235095e-01	-1.102022e+02	-1.648319e-01	7.958114e+01	-5.105351e-02	3.672046e+01
3.831187e-03	2.810182e+00	1.162961e+01	1.768398e-01	-3.273543e+00	1.044518e+00	-3.403442e+01	-1.413232e-01	3.347303e+00	-2.109296e+00	-2.624447e+01	4.246462e-01	-9.995487e+01	-1.698744e-01	7.955360e+01	-5.183348e-02	3.672590e+01
5.011872e-03	2.826981e+00	1.154582e+01	1.790851e-01	-3.217575e+00	1.048329e+00	-2.374408e+01	-1.421377e-01	3.349765e+00	-2.119297e+00	-2.609522e+01	4.263583e-01	-8.832174e+01	-1.775598e-01	7.945643e+01	-5.302041e-02	3.671516e+01
6.556418e-03	2.845122e+00	1.146334e+01	1.815084e-01	-3.158002e+00	1.052421e+00	-1.661756e+01	-1.430172e-01	3.350621e+00	-2.130071e+00	-2.593644e+01	4.282046e-01	-8.025200e+01	-1.859230e-01	7.931069e+01	-5.431052e-02	3.668596e+01
8.576959e-03	2.872502e+00	1.134874e+01	1.851603e-01	-3.071396e+00	1.058518e+00	-9.422631e+00	-1.443444e-01	3.350453e+00	-2.146235e+00	-2.570583e+01	4.309818e-01	-7.208904e+01	-1.987930e-01	7.906525e+01	-5.629010e-02	3.662928e+01
1.122018e-02	2.905123e+00	1.119971e+01	1.895072e-01	-2.950048e+00	1.065720e+00	-2.995337e+00	-1.459254e-01	3.347070e+00	-2.165419e+00	-2.538530e+01	4.342835e-01	-6.473473e+01	-2.143145e-01	7.864907e+01	-5.867319e-02	3.651776e+01
1.467799e-02	2.949260e+00	1.103402e+01	1.953713e-01	-2.810050e+00	1.075245e+00	2.164498e+00	-1.480641e-01	3.341564e+00	-2.191115e+00	-2.501584e+01	4.387252e-01	-5.877818e+01	-2.359815e-01	7.813031e+01	-6.198489e-02	3.637270e+01
1.920142e-02	3.007994e+00	1.078268e+01	2.031537e-01	-2.585742e+00	1.087672e+00	7.547080e+00	-1.509095e-01	3.328398e+00	-2.225018e+00	-2.443232e+01	4.446070e-01	-5.241542e+01	-2.655571e-01	7.720835e+01	-6.648921e-02	3.609615e+01
