1.014409e-04	8.168574e+00	6.016272e-02	2.371295e+00	-6.892496e-01	-7.519987e+00	2.302222e+00	1.771516e-01	-6.174670e-02
1.078112e-04	8.168686e+00	6.015771e-02	2.322043e+00	-6.892596e-01	-7.520067e+00	2.243700e+00	1.771377e-01	-6.174947e-02
1.202143e-04	8.169852e+00	6.021943e-02	2.188246e+00	-6.893469e-01	-7.521074e+00	2.084458e+00	1.773431e-01	-6.172730e-02
1.404753e-04	8.170667e+00	6.024168e-02	2.064165e+00	-6.894108e-01	-7.521745e+00	1.936898e+00	1.774241e-01	-6.172080e-02
1.717430e-04	8.171786e+00	6.026865e-02	1.917704e+00	-6.894990e-01	-7.522662e+00	1.762717e+00	1.775298e-01	-6.171238e-02
2.192141e-04	8.173250e+00	6.029697e-02	1.758537e+00	-6.896155e-01	-7.523850e+00	1.573421e+00	1.776558e-01	-6.170270e-02
2.913702e-04	8.175099e+00	6.031983e-02	1.595876e+00	-6.897644e-01	-7.525330e+00	1.379977e+00	1.777895e-01	-6.169347e-02
4.020675e-04	8.177361e+00	6.032409e-02	1.437590e+00	-6.899499e-01	-7.527105e+00	1.191779e+00	1.779024e-01	-6.168845e-02
5.740472e-04	8.180026e+00	6.028508e-02	1.289667e+00	-6.901746e-01	-7.529127e+00	1.016014e+00	1.779357e-01	-6.169527e-02
8.447957e-04	8.182997e+00	6.015776e-02	1.155991e+00	-6.904368e-01	-7.531251e+00	8.574424e-01	1.777769e-01	-6.172834e-02
1.276240e-03	8.185999e+00	5.986142e-02	1.038409e+00	-6.907252e-01	-7.533137e+00	7.185085e-01	1.772189e-01	-6.181379e-02
1.970564e-03	8.188422e+00	5.925420e-02	9.369416e-01	-6.910090e-01	-7.534089e+00	5.996841e-01	1.758938e-01	-6.199752e-02
3.095467e-03	8.189051e+00	5.809119e-02	8.500430e-01	-6.912222e-01	-7.532784e+00	4.999039e-01	1.731661e-01	-6.235789e-02
4.923344e-03	8.185626e+00	5.595812e-02	7.747857e-01	-6.912351e-01	-7.526832e+00	4.169885e-01	1.679719e-01	-6.302456e-02
7.889624e-03	8.174149e+00	5.217044e-02	7.068841e-01	-6.908101e-01	-7.512098e+00	3.479758e-01	1.585955e-01	-6.420339e-02
1.267488e-02	8.147826e+00	4.562956e-02	6.405181e-01	-6.895312e-01	-7.481724e+00	2.893189e-01	1.424076e-01	-6.620297e-02
2.031140e-02	8.095588e+00	3.464023e-02	5.679963e-01	-6.866992e-01	-7.424827e+00	2.369565e-01	1.156664e-01	-6.944584e-02
3.230531e-02	8.000194e+00	1.673611e-02	4.794732e-01	-6.811841e-01	-7.325088e+00	1.863195e-01	7.366792e-02	-7.442272e-02
5.074689e-02	7.836380e+00	-1.132156e-02	3.632907e-01	-6.712522e-01	-7.159934e+00	1.324432e-01	1.184125e-02	-8.150688e-02
